date,PX_HIGH,PX_LAST,PX_LOW,PX_MID,PX_OPEN
2000-01-03,5.14,4.9,4.75,4.89,4.78
2000-01-04,4.83,4.82,4.73,4.83,4.8
2000-01-05,5.25,5.21,4.7,5.3,4.8
2000-01-06,5.34,5.18,5.13,5.18,5.24
2000-01-07,5.63,5.51,5.19,5.69,5.19
2000-01-10,5.58,5.41,5.23,5.39,5.58
2000-01-11,5.41,5.35,5.2,5.34,5.38
2000-01-12,5.38,5.34,5.25,5.3,5.38
2000-01-13,5.45,5.31,5.11,5.28,5.4
2000-01-14,5.45,5.28,5.25,5.28,5.35
2000-01-17,5.33,5.3,5.23,5.36,5.25
2000-01-18,5.23,5.01,5.0,5.04,5.2
2000-01-19,5.01,4.97,4.89,4.98,5.01
2000-01-20,4.99,4.78,4.75,4.71,4.98
2000-01-21,4.78,4.49,4.48,4.5,4.75
2000-01-24,4.71,4.64,4.55,4.6,4.55
2000-01-25,4.68,4.65,4.55,4.66,4.64
2000-01-26,4.7,4.54,4.5,4.58,4.65
2000-01-27,4.6,4.39,4.38,4.39,4.5600000000000005
2000-01-28,4.35,4.34,4.27,4.31,4.3
2000-01-31,4.31,4.27,4.23,4.24,4.31
2000-02-01,4.37,4.31,4.19,4.29,4.27
2000-02-02,4.36,4.27,4.24,4.26,4.29
2000-02-03,4.7,4.55,4.35,4.57,4.35
2000-02-04,4.8,4.75,4.59,4.74,4.59
2000-02-07,5.36,5.34,4.75,5.36,4.75
2000-02-08,5.58,5.4,5.0,5.44,5.35
2000-02-09,5.53,5.38,5.38,5.37,5.38
2000-02-10,5.74,5.63,5.38,5.54,5.38
2000-02-11,6.13,5.5600000000000005,5.4,5.49,5.63
2000-02-14,5.63,5.53,5.45,5.5,5.63
2000-02-15,5.7,5.64,5.35,5.69,5.53
2000-02-16,5.75,5.63,5.54,5.57,5.64
2000-02-17,5.75,5.45,5.45,5.46,5.68
2000-02-18,5.38,5.16,5.05,5.14,5.35
2000-02-21,5.19,5.19,5.15,5.07,5.16
2000-02-22,5.19,5.04,4.98,5.05,5.19
2000-02-23,5.19,5.18,5.08,5.15,5.08
2000-02-24,5.2,5.19,4.93,5.18,5.18
2000-02-25,5.38,5.18,5.16,5.23,5.19
2000-02-28,5.45,5.4,5.25,5.4,5.25
2000-02-29,5.76,5.6,5.41,5.59,5.41
2000-03-01,5.85,5.78,5.68,5.73,5.68
2000-03-02,6.06,5.95,5.8100000000000005,5.83,5.8100000000000005
2000-03-03,6.4,6.29,6.03,6.29,6.03
2000-03-06,6.28,6.14,6.08,6.11,6.23
2000-03-07,6.35,6.03,5.85,6.03,6.15
2000-03-08,6.28,6.03,5.85,6.04,6.13
2000-03-09,6.3,6.25,5.95,6.22,6.04
2000-03-10,6.51,6.31,6.25,6.34,6.25
2000-03-13,6.38,6.34,6.16,6.36,6.18
2000-03-14,6.4,6.24,6.14,6.2,6.34
2000-03-15,6.65,6.58,6.23,6.69,6.23
2000-03-16,6.8,6.5,6.38,6.47,6.75
2000-03-17,6.55,6.48,6.41,6.47,6.5
2000-03-20,6.5,6.11,6.01,6.17,6.48
2000-03-22,6.4,5.95,5.66,5.99,6.25
2000-03-23,6.1,6.01,5.88,6.05,5.95
2000-03-24,6.23,6.04,6.0,6.03,6.13
2000-03-27,6.15,6.01,6.0,6.03,6.04
2000-03-28,6.03,5.83,5.8,5.89,5.98
2000-03-29,5.99,5.93,5.73,5.94,5.84
2000-03-30,5.93,5.79,5.54,5.73,5.93
2000-03-31,5.88,5.61,5.5,5.58,5.8100000000000005
2000-04-03,5.61,5.5,5.3,5.5,5.61
2000-04-04,5.64,5.63,5.19,5.58,5.54
2000-04-05,5.86,5.79,5.5,5.77,5.5
2000-04-06,6.03,5.99,5.79,5.95,5.88
2000-04-07,6.26,6.09,6.01,6.15,6.01
2000-04-10,6.2,6.16,6.05,6.16,6.16
2000-04-11,6.13,6.0,6.0,5.86,6.08
2000-04-12,6.05,5.96,5.83,5.96,6.0
2000-04-13,5.89,5.75,5.6,5.73,5.88
2000-04-14,5.7,5.31,5.23,5.38,5.63
2000-04-17,5.35,4.96,4.9,4.97,5.31
2000-04-18,5.25,5.21,4.75,5.24,4.95
2000-04-19,5.28,4.98,4.93,4.97,5.28
2000-04-24,5.08,5.0,4.85,4.99,4.93
2000-04-25,5.25,5.19,5.04,5.18,5.04
2000-04-26,5.5,5.35,5.15,5.38,5.15
2000-04-27,5.69,5.63,5.1,5.65,5.2
2000-04-28,5.63,5.44,5.41,5.46,5.63
2000-05-02,5.5,5.2,5.18,5.19,5.45
2000-05-03,5.15,4.88,4.86,4.89,5.15
2000-05-04,5.0,4.9,4.74,4.93,5.0
2000-05-08,4.87,4.75,4.73,4.74,4.87
2000-05-09,4.8,4.7,4.63,4.72,4.8
2000-05-10,4.75,4.68,4.65,4.66,4.67
2000-05-11,4.89,4.84,4.7,4.85,4.71
2000-05-12,5.05,5.01,4.88,5.03,4.88
2000-05-15,5.08,5.04,4.99,5.05,5.0
2000-05-16,5.18,5.06,5.0,5.03,5.15
2000-05-17,5.0,4.74,4.7,4.73,5.0
2000-05-18,4.8100000000000005,4.5600000000000005,4.5,4.59,4.74
2000-05-19,4.5,4.38,4.3,4.41,4.5
2000-05-22,4.32,4.23,4.23,4.24,4.3
2000-05-23,4.45,4.33,4.23,4.33,4.23
2000-05-24,4.5,4.47,4.25,4.5,4.34
2000-05-25,4.73,4.43,4.4,4.48,4.48
2000-05-26,4.68,4.66,4.4,4.68,4.44
2000-05-29,4.73,4.72,4.66,4.73,4.66
2000-05-30,4.94,4.91,4.75,4.95,4.75
2000-05-31,4.99,4.9,4.85,4.89,4.88
2000-06-01,5.03,4.99,4.88,5.01,4.91
2000-06-02,5.3,5.23,5.03,5.23,5.03
2000-06-05,5.46,5.35,5.18,5.3,5.25
2000-06-06,5.34,5.04,5.0,5.06,5.34
2000-06-07,5.1,5.05,4.87,5.08,5.04
2000-06-08,5.2,5.06,5.0,5.05,5.05
2000-06-09,5.13,4.86,4.85,4.88,5.1
2000-06-12,5.1,5.01,4.75,5.0,4.8
2000-06-13,5.18,5.18,4.93,5.16,5.03
2000-06-14,5.3,5.14,5.09,5.16,5.18
2000-06-15,5.34,5.0,4.8,4.99,5.13
2000-06-16,5.08,4.88,4.88,4.86,5.0
2000-06-19,5.0,4.98,4.78,4.99,4.85
2000-06-20,4.97,4.86,4.82,4.84,4.97
2000-06-21,5.1,5.01,4.85,5.05,4.85
2000-06-22,5.2,4.92,4.9,4.91,5.01
2000-06-23,5.0,4.92,4.83,4.91,4.93
2000-06-26,5.25,5.2,4.92,5.18,4.92
2000-06-27,5.58,5.43,5.18,5.43,5.19
2000-06-28,5.53,5.39,5.38,5.41,5.44
2000-06-29,5.65,5.64,5.25,5.6,5.28
2000-06-30,5.91,5.74,5.68,5.76,5.68
2000-07-03,6.44,5.9,5.88,5.91,6.13
2000-07-04,6.13,6.0,5.9,6.03,5.9
2000-07-05,6.13,5.99,5.9,5.99,5.9
2000-07-06,5.93,5.88,5.8,5.88,5.9
2000-07-07,6.25,6.21,5.88,6.16,5.9
2000-07-10,6.3,6.28,6.0,6.29,6.21
2000-07-11,6.4,6.1,6.08,6.06,6.25
2000-07-12,6.25,6.05,5.95,6.09,6.13
2000-07-13,6.1,5.9,5.88,5.93,6.1
2000-07-14,6.0,5.94,5.88,5.92,5.95
2000-07-17,5.94,5.73,5.65,5.69,5.94
2000-07-18,5.93,5.74,5.68,5.79,5.68
2000-07-19,5.73,5.51,5.5,5.53,5.68
2000-07-20,5.88,5.78,5.6,5.84,5.6
2000-07-21,6.09,6.04,5.78,6.01,5.78
2000-07-24,6.04,5.8100000000000005,5.79,5.8100000000000005,6.04
2000-07-25,5.95,5.95,5.78,5.96,5.8100000000000005
2000-07-26,5.91,5.8,5.75,5.73,5.91
2000-07-27,5.75,5.48,5.45,5.46,5.75
2000-07-28,5.48,5.26,5.13,5.24,5.48
2000-07-31,5.4,5.39,5.14,5.38,5.14
2000-08-01,5.49,5.46,5.35,5.46,5.39
2000-08-02,5.64,5.59,5.5,5.59,5.5
2000-08-03,5.55,5.5,5.48,5.48,5.48
2000-08-04,5.73,5.71,5.5600000000000005,5.72,5.5600000000000005
2000-08-07,5.88,5.85,5.68,5.87,5.68
2000-08-08,6.0,6.0,5.83,6.01,5.94
2000-08-09,6.06,5.88,5.85,5.89,6.05
2000-08-10,5.9,5.74,5.63,5.8100000000000005,5.88
2000-08-11,5.93,5.85,5.73,5.88,5.74
2000-08-14,5.8,5.75,5.73,5.67,5.75
2000-08-15,5.83,5.8100000000000005,5.75,5.82,5.75
2000-08-16,6.03,5.83,5.8,5.83,5.8
2000-08-17,5.95,5.84,5.75,5.86,5.88
2000-08-18,5.88,5.61,5.58,5.61,5.83
2000-08-21,5.79,5.65,5.61,5.64,5.61
2000-08-22,5.75,5.71,5.6,5.73,5.65
2000-08-23,5.93,5.83,5.68,5.86,5.71
2000-08-24,5.83,5.7,5.7,5.72,5.75
2000-08-25,5.71,5.41,5.38,5.4,5.69
2000-08-28,5.55,5.5,5.41,5.53,5.43
2000-08-29,5.5600000000000005,5.55,5.48,5.53,5.5
2000-08-30,5.75,5.68,5.55,5.66,5.55
2000-08-31,5.95,5.75,5.68,5.71,5.73
2000-09-01,6.0,5.9,5.68,5.79,5.74
2000-09-04,5.98,5.91,5.8,5.91,5.88
2000-09-05,6.03,5.98,5.8,5.97,5.91
2000-09-06,6.13,5.95,5.83,5.92,5.99
2000-09-07,6.2,5.93,5.9,5.93,6.13
2000-09-08,6.01,5.95,5.88,5.95,5.88
2000-09-11,6.05,5.95,5.83,5.96,5.85
2000-09-12,5.9,5.68,5.63,5.74,5.88
2000-09-13,5.74,5.68,5.59,5.68,5.65
2000-09-14,5.8,5.71,5.68,5.7,5.75
2000-09-15,5.7,5.66,5.6,5.64,5.63
2000-09-18,5.58,5.45,5.44,5.44,5.58
2000-09-19,5.5,5.43,5.35,5.46,5.45
2000-09-20,5.53,5.5,5.38,5.49,5.43
2000-09-21,5.5,5.39,5.35,5.39,5.5
2000-09-22,5.43,5.39,5.25,5.37,5.33
2000-09-25,5.5,5.25,5.23,5.26,5.44
2000-09-26,5.38,5.2,5.15,5.24,5.38
2000-09-27,5.25,5.2,4.95,4.99,5.23
2000-09-28,5.09,5.03,4.97,5.02,5.0
2000-09-29,5.03,4.92,4.9,4.91,5.03
2000-10-02,4.95,4.9,4.88,4.89,4.92
2000-10-03,5.03,4.93,4.9,4.91,4.93
2000-10-04,5.15,5.13,4.93,5.09,4.93
2000-10-05,5.33,5.29,5.1,5.29,5.13
2000-10-06,5.34,5.11,5.05,5.1,5.31
2000-10-09,5.1,5.06,4.98,5.08,5.0
2000-10-10,5.0,4.93,4.9,4.91,5.0
