"Data Source","World Development Indicators",

"Last Updated Date","2019-10-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97","58","","62","92","28","14","","","","220","","","","","","","","","","",
"Afghanistan","AFG","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","556990","","","","","","","","","","","","","","","","","","","861302","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","290468","310894","","","","","","","","","","","","","","","477948","","","","","","","","","","214136","246024","215471","170490","","","","","","","","",
"Albania","ALB","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3469","6463","9222","","11586","12820","","","","12549","17511","16575","14461","10140","6487","","","","","","",
"Andorra","AND","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","3592031","3671147","3612485","3594038","3592965","3586171","3478864","3496767","3533330","3508679","3492998","3554534","3612838","3647830","3566930","3602387","3593484","3548925","3573189","3658399","3634856","3745624","4128305","4184819","4022563","4146415","3971285","3917381","3986949","3749078","3664308","3531869","3431288","3311424","3241282","3275686","3305083","3121187","2964240","2932450","2757675","2910399","3029783","3314512","3442661","3560375","3544548","3361258","3374616","",
"United Arab Emirates","ARE","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","7291","","11083","13823","12371","15957","17378","19318","20950","11894","8874","4658","1347","1155","4676","11380","15116","14800","19195","25022","26140","","","","","","","","","8679","","","","","13559","16215","","","","","","",
"Argentina","ARG","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","94757","","","","51880","58367","","","","","","","","","","","","","","","","85545","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Armenia","ARM","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11240","11555","","8482","5634","2445","","","","4010","3000","2845","4862","6092","6493","6591","6050","",
"American Samoa","ASM","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
